Worker,Day,Shift,Start,End
7,4,"(4, 'cons_14_16')",2024-09-04 14:00,2024-09-04 16:00
7,4,"(4, 'endo_10_12')",2024-09-04 10:00,2024-09-04 12:00
7,5,"(5, 'morpho_08_12')",2024-09-05 08:00,2024-09-05 12:00
7,5,"(5, 'endo_12_14')",2024-09-05 12:00,2024-09-05 14:00
8,1,"(1, 'prostho_13_17')",2024-09-01 13:00,2024-09-01 17:00
8,2,"(2, 'cons_12_14')",2024-09-02 12:00,2024-09-02 14:00
8,2,"(2, 'endo_14_16')",2024-09-02 14:00,2024-09-02 16:00
8,3,"(3, 'morpho_13_17')",2024-09-03 13:00,2024-09-03 17:00
8,4,"(4, 'endo_14_16')",2024-09-04 14:00,2024-09-04 16:00
8,5,"(5, 'conslab_12_16')",2024-09-05 12:00,2024-09-05 16:00
8,5,"(5, 'endo_08_10')",2024-09-05 08:00,2024-09-05 10:00
9,1,"(1, 'endo_12_14')",2024-09-01 12:00,2024-09-01 14:00
9,1,"(1, 'x-ray_14_17')",2024-09-01 14:00,2024-09-01 17:00
9,2,"(2, 'x-ray_14_17')",2024-09-02 14:00,2024-09-02 17:00
9,3,"(3, 'endo_12_14')",2024-09-03 12:00,2024-09-03 14:00
9,4,"(4, 'surgery_15_17')",2024-09-04 15:00,2024-09-04 17:00
9,5,"(5, 'conslab_08_12')",2024-09-05 08:00,2024-09-05 12:00
9,5,"(5, 'x-ray_12_15')",2024-09-05 12:00,2024-09-05 15:00
10,1,"(1, 'surgery_12_14')",2024-09-01 12:00,2024-09-01 14:00
10,1,"(1, 'diagnosis_14_16')",2024-09-01 14:00,2024-09-01 16:00
10,2,"(2, 'endo_12_14')",2024-09-02 12:00,2024-09-02 14:00
10,2,"(2, 'surgery_15_17')",2024-09-02 15:00,2024-09-02 17:00
10,3,"(3, 'surgery_15_17')",2024-09-03 15:00,2024-09-03 17:00
10,4,"(4, 'conslab_13_17')",2024-09-04 13:00,2024-09-04 17:00
10,5,"(5, 'morpho_08_12')",2024-09-05 08:00,2024-09-05 12:00
10,5,"(5, 'endo_12_14')",2024-09-05 12:00,2024-09-05 14:00
11,1,"(1, 'diagnosis_10_12')",2024-09-01 10:00,2024-09-01 12:00
11,1,"(1, 'tech_12_14')",2024-09-01 12:00,2024-09-01 14:00
11,2,"(2, 'cons_10_12')",2024-09-02 10:00,2024-09-02 12:00
11,2,"(2, 'cons_14_16')",2024-09-02 14:00,2024-09-02 16:00
11,3,"(3, 'prostho_13_17')",2024-09-03 13:00,2024-09-03 17:00
11,4,"(4, 'morpho_13_17')",2024-09-04 13:00,2024-09-04 17:00
11,5,"(5, 'conslab_12_16')",2024-09-05 12:00,2024-09-05 16:00
12,1,"(1, 'conslab_13_17')",2024-09-01 13:00,2024-09-01 17:00
12,3,"(3, 'conslab_13_17')",2024-09-03 13:00,2024-09-03 17:00
12,4,"(4, 'prostho_13_17')",2024-09-04 13:00,2024-09-04 17:00
12,5,"(5, 'prostho_08_12')",2024-09-05 08:00,2024-09-05 12:00
12,5,"(5, 'cons_12_14')",2024-09-05 12:00,2024-09-05 14:00
13,1,"(1, 'cons_10_12')",2024-09-01 10:00,2024-09-01 12:00
13,2,"(2, 'morpho_13_17')",2024-09-02 13:00,2024-09-02 17:00
13,3,"(3, 'surgery_15_17')",2024-09-03 15:00,2024-09-03 17:00
13,4,"(4, 'morpho_13_17')",2024-09-04 13:00,2024-09-04 17:00
13,4,"(4, 'endo_10_12')",2024-09-04 10:00,2024-09-04 12:00
13,5,"(5, 'morpho_12_16')",2024-09-05 12:00,2024-09-05 16:00
13,5,"(5, 'endo_08_10')",2024-09-05 08:00,2024-09-05 10:00
14,1,"(1, 'surgery_12_14')",2024-09-01 12:00,2024-09-01 14:00
14,1,"(1, 'diagnosis_08_10')",2024-09-01 08:00,2024-09-01 10:00
14,2,"(2, 'surgery_12_14')",2024-09-02 12:00,2024-09-02 14:00
14,2,"(2, 'x-ray_14_17')",2024-09-02 14:00,2024-09-02 17:00
14,3,"(3, 'endo_12_14')",2024-09-03 12:00,2024-09-03 14:00
14,3,"(3, 'diagnosis_14_16')",2024-09-03 14:00,2024-09-03 16:00
14,4,"(4, 'x-ray_14_17')",2024-09-04 14:00,2024-09-04 17:00
14,4,"(4, 'surgery_12_14')",2024-09-04 12:00,2024-09-04 14:00
14,5,"(5, 'cons_08_10')",2024-09-05 08:00,2024-09-05 10:00
15,1,"(1, 'conslab_13_17')",2024-09-01 13:00,2024-09-01 17:00
15,2,"(2, 'cons_10_12')",2024-09-02 10:00,2024-09-02 12:00
15,3,"(3, 'x-ray_14_17')",2024-09-03 14:00,2024-09-03 17:00
15,3,"(3, 'cons_12_14')",2024-09-03 12:00,2024-09-03 14:00
15,4,"(4, 'cons_10_12')",2024-09-04 10:00,2024-09-04 12:00
15,4,"(4, 'diagnosis_14_16')",2024-09-04 14:00,2024-09-04 16:00
15,5,"(5, 'conslab_08_12')",2024-09-05 08:00,2024-09-05 12:00
16,1,"(1, 'endo_10_12')",2024-09-01 10:00,2024-09-01 12:00
16,1,"(1, 'tech_12_14')",2024-09-01 12:00,2024-09-01 14:00
16,2,"(2, 'surgery_09_11')",2024-09-02 09:00,2024-09-02 11:00
16,2,"(2, 'conslab_13_17')",2024-09-02 13:00,2024-09-02 17:00
16,3,"(3, 'cons_12_14')",2024-09-03 12:00,2024-09-03 14:00
16,4,"(4, 'diagnosis_14_16')",2024-09-04 14:00,2024-09-04 16:00
16,5,"(5, 'x-ray_12_15')",2024-09-05 12:00,2024-09-05 15:00
16,5,"(5, 'cons_08_10')",2024-09-05 08:00,2024-09-05 10:00
